iter	RMSE
667	9948.155089
668	9947.030275
669	9945.484232
670	9944.140721
671	9942.120883
672	9940.542343
673	9939.415585
674	9938.450701
675	9937.574925
676	9936.643442
677	9934.615725
678	9932.978892
679	9930.833873
680	9929.97611
681	9928.607344
682	9925.535192
683	9924.842501
684	9923.848338
685	9920.318566
686	9919.649515
687	9917.665343
688	9915.892569
689	9914.021639
690	9911.180421
691	9909.446235
692	9908.708531
693	9905.357378
694	9903.541644
695	9901.662886
696	9899.907698
697	9899.065818
698	9897.831067
699	9896.153846
700	9895.345555
701	9893.918479
702	9893.113512
703	9892.266465
704	9890.659538
705	9887.955903
706	9886.650604
707	9885.654027
708	9884.841117
709	9884.51401
710	9883.581167
711	9881.243754
712	9878.313782
713	9877.32697
714	9876.169328
715	9875.818479
716	9874.768306
717	9872.737581
718	9872.007223
719	9870.619143
720	9869.061761
721	9867.542646
722	9866.4812
723	9865.00565
724	9862.123948
725	9858.281331
726	9857.538649
727	9855.457017
728	9852.949312
729	9851.862971
730	9850.78313
731	9849.058754
732	9848.535235
733	9847.438377
734	9846.933012
735	9846.35261
736	9845.382627
737	9843.498313
738	9841.387765
739	9840.642328
740	9839.202916
741	9838.031876
742	9836.341625
743	9835.411009
744	9833.85387
745	9833.103009
746	9831.669721
747	9830.285323
748	9827.727896
749	9826.674572
750	9825.074051
751	9824.115925
752	9822.891738
753	9821.603682
754	9820.580776
755	9819.777628
756	9818.8676
757	9817.191738
758	9815.736892
759	9814.113194
760	9812.468117
761	9811.10536
762	9810.419035
763	9808.894678
764	9807.961572
765	9807.773058
766	9807.253607
767	9806.868178
768	9806.15047
769	9804.317007
770	9803.113451
771	9802.13753
772	9800.693624
773	9800.037683
774	9799.551286
775	9798.411503
776	9796.237433
777	9794.172554
778	9793.496753
779	9791.66364
780	9789.742634
781	9789.060524
782	9787.478979
783	9786.508276
784	9785.045479
785	9784.021411
786	9782.519959
787	9780.417932
788	9779.56906
789	9779.357471
790	9778.160415
791	9777.305453
792	9776.145188
793	9774.989717
794	9773.966792
795	9772.460697
796	9771.265464
797	9769.353738
798	9767.8359
799	9765.962219
800	9764.928376
801	9762.797081
802	9761.316804
803	9759.094232
804	9756.232054
805	9755.07006
806	9753.953288
807	9753.227916
808	9751.469751
809	9750.684359
810	9749.217925
811	9747.400485
812	9746.419848
813	9745.766907
814	9745.346245
815	9743.884626
816	9742.706678
817	9741.846363
818	9740.243422
819	9738.559828
820	9736.555167
821	9735.624013
822	9734.383206
823	9733.961606
824	9731.666917
825	9730.652103
826	9729.627893
827	9728.913942
828	9728.400628
829	9728.104757
830	9727.088345
831	9726.439627
832	9725.707387
833	9724.99617
834	9723.72756
835	9722.566845
836	9721.600487
837	9721.019985
838	9719.649028
839	9718.803415
840	9718.266377
841	9716.970324
842	9715.587193
843	9712.887175
844	9712.619057
845	9711.485259
846	9710.4779
847	9708.899089
848	9707.850038
849	9707.404065
850	9706.383462
851	9705.410648
852	9702.930171
853	9700.957769
854	9699.883644
855	9698.070985
856	9697.185645
857	9696.775907
858	9695.756802
859	9693.038849
860	9691.305258
861	9690.451684
862	9689.987204
863	9687.976458
864	9687.028499
865	9685.812078
866	9684.352266
867	9683.463557
868	9681.798641
869	9680.767867
870	9679.72019
871	9678.78235
872	9677.375691
873	9676.44233
874	9673.928981
875	9673.093487
876	9670.901048
877	9669.294375
878	9668.776087
879	9667.343945
880	9665.993534
881	9665.375965
882	9664.298028
883	9663.598258
884	9662.116764
885	9661.616526
886	9660.607662
887	9657.84215
888	9657.159723
889	9656.715579
890	9654.347061
891	9653.474532
892	9652.184194
893	9650.336201
894	9648.928976
895	9648.199039
896	9647.327172
897	9646.38216
898	9644.475387
899	9643.217643
900	9642.210565
901	9640.937797
902	9639.845453
903	9639.119886
904	9638.086767
905	9637.092731
906	9635.756916
907	9633.646501
908	9631.824215
909	9629.513088
910	9628.831617
911	9627.854452
912	9627.157605
913	9625.503976
914	9624.757201
915	9624.402916
916	9623.36169
917	9622.48442
918	9621.63354
919	9620.732447
920	9619.932395
921	9619.329356
922	9617.586669
923	9616.573776
924	9615.297332
925	9614.497626
926	9612.914955
927	9611.111442
928	9609.996795
929	9608.962394
930	9608.202389
931	9607.642549
932	9606.297791
933	9605.649947
934	9603.984831
935	9602.634381
936	9601.906102
937	9600.837584
938	9600.04817
939	9598.801859
940	9596.959835
941	9595.678892
942	9593.628437
943	9592.822893
944	9591.928956
945	9590.447413
946	9589.842875
947	9589.558987
948	9587.87065
949	9585.35066
950	9583.617738
951	9581.353667
952	9579.782137
953	9578.735414
954	9577.538364
955	9576.082544
956	9575.149724
957	9574.369496
958	9573.973592
959	9572.879748
960	9571.98604
961	9571.214065
962	9569.954758
963	9568.688431
964	9568.085341
965	9566.315675
966	9565.295988
967	9564.492975
968	9563.764764
969	9561.883516
970	9559.853075
971	9557.895953
972	9556.950085
973	9556.11368
974	9554.964819
975	9554.220447
976	9553.338538
977	9552.002358
978	9550.379701
979	9549.972294
980	9548.433523
981	9547.838414
982	9546.129757
983	9545.071894
984	9544.1305
985	9542.782493
986	9541.22235
987	9540.892284
988	9539.70996
989	9538.366463
990	9536.692093
991	9536.007094
992	9534.169033
993	9533.10718
994	9531.935012
995	9530.552818
996	9528.606739
997	9526.137041
998	9524.994377
999	9523.084702
