iter	Passed	Remaining
410	4314	6182
411	4323	6170
412	4333	6159
413	4343	6147
414	4354	6138
415	4365	6128
416	4376	6118
417	4386	6107
418	4397	6098
419	4420	6103
420	4432	6095
421	4444	6086
422	4458	6081
423	4473	6077
424	4484	6066
425	4494	6055
426	4503	6043
427	4513	6032
428	4523	6020
429	4532	6008
430	4542	5996
431	4552	5985
432	4562	5973
433	4572	5962
434	4582	5952
435	4592	5940
436	4602	5929
437	4611	5917
438	4621	5906
439	4631	5894
440	4640	5882
441	4650	5871
442	4660	5859
443	4669	5847
444	4680	5837
445	4690	5826
446	4701	5815
447	4710	5804
448	4720	5792
449	4730	5781
450	4741	5771
451	4756	5766
452	4767	5756
453	4776	5744
454	4786	5733
455	4795	5721
456	4807	5712
457	4822	5706
458	4833	5696
459	4842	5685
460	4852	5673
461	4863	5663
462	4873	5652
463	4883	5640
464	4892	5629
465	4902	5617
466	4912	5606
467	4922	5595
468	4932	5584
469	4943	5574
470	4953	5563
471	4963	5552
472	4974	5542
473	4987	5534
474	4998	5524
475	5011	5516
476	5022	5507
477	5035	5499
478	5045	5488
479	5056	5478
480	5067	5467
481	5077	5457
482	5091	5449
483	5101	5439
484	5113	5429
485	5123	5419
486	5134	5408
487	5145	5398
488	5155	5387
489	5167	5378
490	5179	5369
491	5190	5359
492	5206	5354
493	5217	5344
494	5228	5334
495	5238	5323
496	5249	5312
497	5259	5301
498	5273	5294
499	5284	5284
500	5294	5273
501	5304	5262
502	5313	5250
503	5325	5240
504	5334	5229
505	5348	5222
506	5359	5211
507	5370	5201
508	5380	5190
509	5389	5178
510	5407	5174
511	5419	5165
512	5429	5154
513	5438	5142
514	5448	5130
515	5457	5119
516	5467	5107
517	5477	5096
518	5486	5084
519	5497	5074
520	5511	5067
521	5522	5056
522	5532	5045
523	5542	5034
524	5553	5024
525	5564	5014
526	5574	5003
527	5589	4997
528	5600	4986
529	5612	4976
530	5625	4968
531	5635	4957
532	5645	4946
533	5654	4934
534	5663	4922
535	5673	4911
536	5683	4900
537	5693	4889
538	5703	4878
539	5713	4867
540	5723	4856
541	5733	4844
542	5744	4834
543	5754	4823
544	5763	4811
545	5773	4800
546	5784	4790
547	5793	4778
548	5803	4767
549	5812	4756
550	5822	4744
551	5831	4732
552	5841	4721
553	5850	4709
554	5859	4698
555	5868	4686
556	5878	4675
557	5888	4663
558	5898	4653
559	5908	4642
560	5917	4630
561	5928	4620
562	5938	4609
563	5947	4597
564	5957	4586
565	5966	4575
566	5976	4563
567	5989	4555
568	6007	4550
569	6019	4540
570	6028	4529
571	6038	4518
572	6048	4507
573	6059	4496
574	6069	4486
575	6079	4474
576	6089	4463
577	6098	4452
578	6108	4441
579	6117	4430
580	6128	4419
581	6139	4409
582	6149	4398
583	6160	4388
584	6169	4376
585	6180	4366
586	6191	4355
587	6202	4346
588	6212	4335
589	6223	4325
590	6234	4314
591	6244	4303
592	6254	4292
593	6268	4284
594	6279	4274
595	6292	4265
596	6302	4254
597	6314	4244
598	6326	4235
599	6337	4225
600	6348	4214
601	6359	4204
602	6370	4194
603	6387	4187
604	6402	4180
605	6412	4169
606	6423	4159
607	6433	4147
608	6443	4137
609	6455	4127
610	6464	4115
611	6474	4104
612	6484	4093
613	6493	4082
614	6504	4071
615	6513	4060
616	6523	4049
617	6533	4038
618	6543	4027
619	6554	4016
620	6565	4007
621	6576	3996
622	6586	3985
623	6597	3975
624	6608	3964
625	6617	3953
626	6628	3943
627	6639	3933
628	6649	3922
629	6660	3911
630	6670	3900
631	6680	3890
632	6691	3879
633	6701	3868
634	6711	3857
635	6721	3847
636	6732	3836
637	6742	3825
638	6752	3814
639	6764	3804
640	6773	3793
641	6783	3782
642	6796	3773
643	6808	3763
644	6820	3753
645	6831	3743
646	6843	3733
647	6855	3723
648	6866	3713
649	6876	3702
650	6888	3692
651	6899	3682
652	6911	3672
653	6923	3663
654	6933	3651
655	6944	3641
656	6956	3631
657	6966	3620
658	6979	3611
659	6990	3601
660	7001	3590
661	7011	3580
662	7022	3569
663	7032	3558
664	7042	3547
665	7055	3538
666	7067	3528
667	7077	3517
668	7089	3507
669	7101	3497
670	7112	3487
671	7123	3476
672	7134	3466
673	7144	3455
674	7154	3444
675	7165	3434
676	7176	3423
677	7186	3412
678	7198	3403
679	7209	3392
680	7220	3382
681	7232	3372
682	7242	3361
683	7253	3350
684	7263	3340
685	7273	3329
686	7283	3318
687	7295	3308
688	7307	3298
689	7316	3287
690	7328	3276
691	7338	3266
692	7349	3255
693	7358	3244
694	7369	3234
695	7386	3226
696	7396	3215
697	7405	3204
698	7415	3193
699	7425	3182
700	7434	3171
701	7444	3160
702	7453	3148
703	7462	3137
704	7472	3126
705	7482	3115
706	7491	3104
707	7500	3093
708	7509	3082
709	7519	3071
710	7528	3060
711	7538	3049
712	7549	3038
713	7558	3027
714	7568	3016
715	7577	3005
716	7586	2994
717	7596	2983
718	7605	2972
719	7615	2961
720	7625	2950
721	7636	2940
722	7651	2931
723	7660	2920
724	7670	2909
725	7681	2899
726	7691	2888
727	7701	2877
728	7711	2866
729	7722	2856
730	7732	2845
731	7742	2834
732	7752	2823
733	7761	2812
734	7770	2801
735	7779	2790
736	7789	2779
737	7798	2768
738	7808	2757
739	7818	2746
740	7828	2736
741	7837	2725
742	7848	2714
743	7857	2703
744	7867	2692
745	7877	2682
746	7888	2671
747	7898	2661
748	7909	2650
749	7919	2639
750	7929	2628
751	7939	2618
752	7949	2607
753	7960	2597
754	7974	2587
755	7983	2576
756	7993	2566
757	8004	2555
758	8015	2544
759	8025	2534
760	8035	2523
761	8046	2513
762	8056	2502
763	8067	2492
764	8078	2481
765	8088	2470
766	8098	2460
767	8109	2449
768	8118	2438
769	8129	2428
770	8139	2417
771	8149	2406
772	8160	2396
773	8171	2386
774	8181	2375
775	8191	2364
776	8202	2354
777	8213	2343
778	8222	2332
779	8233	2322
780	8244	2311
781	8254	2301
782	8265	2290
783	8275	2279
784	8285	2269
785	8295	2258
786	8305	2247
787	8315	2237
788	8324	2226
789	8333	2215
790	8343	2204
791	8353	2193
792	8368	2184
793	8379	2173
794	8388	2163
795	8398	2152
796	8408	2141
797	8418	2131
798	8428	2120
799	8438	2109
800	8447	2098
801	8457	2088
802	8467	2077
803	8476	2066
804	8486	2055
805	8495	2044
806	8505	2034
807	8516	2023
808	8527	2013
809	8537	2002
810	8547	1991
811	8557	1981
812	8566	1970
813	8576	1959
814	8586	1948
815	8596	1938
816	8606	1927
817	8616	1917
818	8627	1906
819	8638	1896
820	8649	1885
821	8665	1876
822	8676	1866
823	8686	1855
824	8696	1844
825	8707	1834
826	8717	1823
827	8727	1813
828	8737	1802
829	8747	1791
830	8758	1781
831	8768	1770
832	8779	1760
833	8789	1749
834	8799	1738
835	8810	1728
836	8820	1717
837	8831	1707
838	8840	1696
839	8850	1685
840	8860	1675
841	8871	1664
842	8881	1654
843	8892	1643
844	8902	1632
845	8912	1622
846	8923	1611
847	8934	1601
848	8944	1590
849	8956	1580
850	8966	1569
851	8976	1559
852	8985	1548
853	8996	1538
854	9006	1527
855	9016	1516
856	9025	1506
857	9035	1495
858	9044	1484
859	9054	1473
860	9064	1463
861	9073	1452
862	9083	1441
863	9093	1431
864	9102	1420
865	9112	1409
866	9122	1399
867	9132	1388
868	9142	1378
869	9152	1367
870	9162	1357
871	9171	1346
872	9181	1335
873	9190	1324
874	9200	1314
875	9209	1303
876	9219	1293
877	9229	1282
878	9238	1271
879	9248	1261
880	9258	1250
881	9267	1239
882	9277	1229
883	9287	1218
884	9298	1208
885	9307	1197
886	9317	1186
887	9328	1176
888	9337	1165
889	9350	1155
890	9363	1145
891	9373	1134
892	9383	1124
893	9392	1113
894	9402	1103
895	9412	1092
896	9421	1081
897	9431	1071
898	9440	1060
899	9449	1049
900	9459	1039
901	9468	1028
902	9478	1018
903	9487	1007
904	9497	997
905	9507	986
906	9517	975
907	9527	965
908	9537	954
909	9547	944
910	9557	933
911	9567	923
912	9576	912
913	9586	901
914	9595	891
915	9604	880
916	9614	870
917	9623	859
918	9631	848
919	9640	838
920	9650	827
921	9661	817
922	9675	807
923	9685	796
924	9694	786
925	9704	775
926	9713	764
927	9723	754
928	9734	743
929	9744	733
930	9753	722
931	9763	712
932	9772	701
933	9782	691
934	9791	680
935	9802	670
936	9811	659
937	9820	649
938	9830	638
939	9840	628
940	9850	617
941	9859	607
942	9869	596
943	9879	586
944	9889	575
945	9898	565
946	9907	554
947	9916	543
948	9926	533
949	9936	522
950	9949	512
951	9959	502
952	9969	491
953	9979	481
954	9988	470
955	9998	460
956	10007	449
957	10016	439
958	10025	428
959	10038	418
960	10055	408
961	10070	397
962	10081	387
963	10094	376
964	10107	366
965	10120	356
966	10133	345
967	10144	335
968	10155	324
969	10170	314
970	10198	304
971	10234	294
972	10250	284
973	10269	274
974	10285	263
975	10297	253
976	10310	242
977	10323	232
978	10340	221
979	10352	211
980	10363	200
981	10374	190
982	10384	179
983	10396	169
984	10408	158
985	10418	147
986	10429	137
987	10439	126
988	10455	116
989	10469	105
990	10479	95
991	10495	84
992	10507	74
993	10518	63
994	10531	52
995	10544	42
996	10554	31
997	10564	21
998	10574	10
999	10586	0
